SalesPrice,Cost
273.59,239.29
102.6,71.37
179.54,145.38
179.54,150.38
179.54,145.38
170.99,144.93
170.99,144.93
299.24,246.62
222.29,147.61
76.95,65.03
320.62,221.84
230.84,164.05
273.59,197.29
265.04,195.84
282.14,206.73
230.84,157.06
222.29,154.61
205.19,153.72
196.64,160.27
179.54,116.38
265.04,207.84
256.49,200.4
384.74,262.09
316.34,217.51
213.74,158.16
119.7,103.26
128.25,103.71
119.7,97.26
102.6,102.37
179.54,151.38
196.64,167.27
196.64,152.27
179.54,156.38
359.09,317.75
230.84,205.06
196.64,172.27
478.79,505.99
158.17,131.81
102.6,86.37
119.7,97.26
119.7,103.26
111.15,96.81
111.15,91.81
111.15,96.81
111.15,91.81
111.15,96.81
179.54,156.38
179.54,156.38
205.19,177.72
718.18,629.48
205.19,160.72
230.84,152.06
230.84,131.06
812.23,675.03
495.89,422.88
854.97,730.62
1367.96,1079.39
581.38,520.32
1167.04,1202.9
76.95,60.03
205.19,167.72
624.13,1079.14
726.73,519.57
230.84,141.06
128.25,84.71
102.6,69.37
196.64,153.27
320.62,241.84
213.74,176.16
299.24,241.62
222.29,255.22
320.62,206.84
162.45,77.48
162.45,77.48
162.45,77.48
102.6,49.37
102.6,49.37
85.5,40.47
145.35,102.59
153.9,113.04
162.45,107.48
162.45,108.48
205.19,159.72
119.7,91.26
188.09,160.82
111.15,78.81
196.64,152.27
478.79,351.98
359.09,230.75
145.35,124.59
213.74,143.16
196.64,159.27
153.9,120.04
205.19,159.72
205.19,154.72
230.84,145.06
128.25,83.71
205.19,157.72
359.09,240.61
299.24,127.62
179.54,154.38
136.8,93.15
196.64,148.27
119.7,113.26
196.64,166.27
119.7,92.26
179.54,145.38
170.99,139.93
179.54,145.38
188.09,155.82
136.8,114.15
145.35,119.59
222.29,178.61
247.94,174.95
102.6,79.37
102.6,74.37
102.6,69.37
153.9,130.04
153.9,250.08
153.9,120.04
153.9,125.04
170.99,437.79
119.7,108.26
102.6,91.37
188.09,161.82
170.99,165.93
299.24,257.62
186.67,572.78
186.67,859.17
186.67,572.78
186.67,572.78
186.67,1145.56
186.67,286.39
186.67,1431.95
186.67,1431.95
186.67,859.17
186.67,1145.56
186.67,286.39
173.57,1347.7
173.57,539.08
167.02,539.08
167.02,269.54
199.77,2756.7
167.02,514.58
167.02,257.29
167.02,514.58
167.02,1029.16
203.05,1244.04
203.05,1866.06
157.2,8952.89
157.2,5565.31
157.2,4113.49
157.2,1451.82
157.2,4843.8
317.67,5390.77
284.92,438
219.42,1019.97
219.42,339.99
199.77,1531.5
284.92,2628
173.57,539.08
173.57,539.08
219.42,679.98
186.67,859.17
219.42,339.99
186.67,572.78
186.67,286.39
186.67,1718.34
199.77,306
167.02,257.29
199.77,306.3
167.02,514.58
167.02,514.58
186.67,1145.56
186.67,572.78
186.67,572.78
186.67,1145.56
186.67,286.39
167.02,539.08
167.02,514.58
167.02,257.29
199.77,612.6
199.77,918.9
186.67,269.54
186.67,1886.78
186.67,269.54
186.67,269.54
186.67,808.62
186.67,269.54
186.67,269.54
199.77,306.3
173.57,269.54
173.57,269.54
173.57,539.08
173.57,269.54
219.42,1019.97
219.42,339.99
186.67,286.39
173.57,539.08
173.57,269.54
173.57,539.08
173.57,1078.16
173.57,539.08
173.57,539.08
186.67,286.39
2086.13,2909.82
2138.53,3298.58
1367.96,1100
410.39,296.91
299.24,196
495.89,352.51
854.97,583.8
4958.85,4180
4702.36,4125.88
363.36,316.41
320.61,570.48
512.98,442.6
320.62,285.24
598.48,514.72
406.11,352.47
641.23,550.77
341.99,298.39
512.98,442.6
769.48,658.94
341.99,298.39
427.48,750.78
299.24,262.33
833.6,713.02
406.11,352.47
5829.41,497.505
17750,17068.5
175000,83849.6
62000,43800
850,385
18000,7601
4160,2255.73
3749,2231.25
473,281.25
5800,3389.9
2435,1251
2880,1425.33
7350,3780
2400,2200
